Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}

What are the common houses of US Congress and the Kansas Legislature?	 SELECT DISTINCT ?uri WHERE { dbr:United_States_Congress dbp:houses ?uri. dbr:Kansas_Legislature dbo:house ?uri}

Which administrative headquarters of the Pulau Ubin is also the resting place of the Nicole Lai	 SELECT DISTINCT ?uri WHERE { dbr:Pulau_Ubin dbo:capital ?uri. dbr:Nicole_Lai dbo:restingPlace ?uri}

What is the common military branch of the Thomas Darden and that of Edwin F. Hunter	 SELECT DISTINCT ?uri WHERE { dbr:Thomas_Darden dbo:militaryBranch ?uri. dbr:Edwin_F._Hunter dbp:branch ?uri}

Which is the university of Vanderbilt Commodores ?	 SELECT DISTINCT ?uri WHERE { dbr:Vanderbilt_Commodores dbo:university ?uri }

Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics ?	SELECT DISTINCT ?uri WHERE { dbr:Switzerland_at_the_2004_Summer_Olympics dbp:flagbearer ?uri. dbr:Switzerland_at_the_2008_Summer_Olympics dbp:flagbearer ?uri . }

Which fictional character's portrayer was edited by Roger Barton?	SELECT DISTINCT ?uri WHERE { ?x dbp:editing dbr:Roger_Barton_(film_editor) . ?uri dbo:portrayer ?x  . ?uri rdf:type dbo:FictionalCharacter}

Which country does the current team of Darren McNamara belong to?	SELECT DISTINCT ?uri WHERE { dbr:Darren_McNamara dbp:currentTeam ?x . ?x dbo:locationCountry ?uri  . }

List some pupils of National Science Medal winning scientists?	SELECT DISTINCT ?uri WHERE { ?x dbp:prizes dbr:National_Medal_of_Science . ?x dbp:doctoralStudents ?uri  . ?x rdf:type dbo:Scientist}

Which is the common nation of Louisa Hill and American Football Wellington from?	SELECT DISTINCT ?uri WHERE { dbr:Louisa_Hill dbo:country ?uri. dbr:American_Football_Wellington dbo:country ?uri . }

Was robert sarvis a nominee of the US Senate?	ASK WHERE { dbr:Robert_Sarvis dbo:nominee dbr:United_States_Senate }

Name the TV show which has judge as harry Connick and is broadcasted on Fox Broadcasting Company ?	SELECT DISTINCT ?uri WHERE {?uri dbo:channel dbr:Fox_Broadcasting_Company . ?uri dbp:judges dbr:Harry_Connick_Jr.  . ?uri rdf:type dbo:TelevisionShow}

What company brought Riddim Ribbon to the market and developed the batch monitor?	 SELECT DISTINCT ?uri WHERE { dbr:Batch_Monitor dbp:developer ?uri. dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas dbp:distributor ?uri}

Who is the successor of McDonnell Douglas ?	 SELECT DISTINCT ?uri WHERE { dbr:McDonnell_Douglas dbp:successor ?uri }

where did Boga originate?	 SELECT DISTINCT ?uri WHERE { dbr:Boga_(soft_drink) dbp:origin ?uri }

What is the order of the Henry Clay and profession of the William Luther Hill?	 SELECT DISTINCT ?uri WHERE { dbr:Henry_Clay dbp:order ?uri. dbr:William_Luther_Hill dbo:profession ?uri}

Name the co-founder of the record labels which have one of the founder as Chris DuBois ?	SELECT DISTINCT ?uri WHERE { ?x dbp:founder dbr:Chris_DuBois . ?x dbp:founder ?uri  . ?x rdf:type dbo:RecordLabel}

Who is the builder of Estadio Nacional de Costa Rica and also location of Xianren Cave ?	 SELECT DISTINCT ?uri WHERE { dbr:Estadio_Nacional_de_Costa_Rica_(2011) dbo:builder ?uri. dbr:Xianren_Cave dbo:country ?uri}

what does the cahora bassa flow into?	 SELECT DISTINCT ?uri WHERE { dbr:Cahora_Bassa dbp:inflow ?uri }

What awards have been given to the anyone who raced in the Lawrence Realization Stakes?	SELECT DISTINCT ?uri WHERE { ?x dbp:race dbr:Lawrence_Realization_Stakes . ?x dbo:honours ?uri  . }

How many home stadium are there of the soccer club seasons whose chairman is Merritt Paulson?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:chairman dbr:Merritt_Paulson . ?x dbo:homeStadium ?uri  . }

Name the scientist whose academic advisor is Karl Ewald Hasse and supervisor is Georg Meissner?	SELECT DISTINCT ?uri WHERE {?uri dbo:academicAdvisor dbr:Karl_Ewald_Hasse . ?uri dbp:doctoralAdvisor dbr:Georg_Meissner  . ?uri rdf:type dbo:Scientist}

Erik Jendresen is writer and Play tone is company of which TV show ?	SELECT DISTINCT ?uri WHERE {?uri dbp:writer dbr:Erik_Jendresen . ?uri dbp:company dbr:Playtone  . ?uri rdf:type dbo:TelevisionShow}

Name the resting place of Charles Edward Magoon ?	 SELECT DISTINCT ?uri WHERE { dbr:Charles_Edward_Magoon dbp:restingplace ?uri }

Where is the residence of the governor of Bangkok ?	SELECT DISTINCT ?uri WHERE { dbr:Bangkok dbo:leaderName ?x . ?x dbp:residence ?uri  . }

Who owns the newspaper which was founded by Nehru?	SELECT DISTINCT ?uri WHERE { ?x dbp:founder dbr:Jawaharlal_Nehru . ?x dbo:owner ?uri  . ?x rdf:type dbo:Newspaper}

who all play for of the american football players at  Quarterback position?	SELECT DISTINCT ?uri WHERE { ?x dbp:position dbr:Quarterback . ?x dbo:team ?uri  . ?x rdf:type dbo:AmericanFootballPlayer}

In which region was political figure Wayne Allard elected?	 SELECT DISTINCT ?uri WHERE { dbr:Wayne_Allard dbo:region ?uri }

Which party of Rishang Keishing is the leader at Manendragarh ?	 SELECT DISTINCT ?uri WHERE { dbr:Manendragarh dbo:leaderName ?uri. dbr:Rishang_Keishing dbp:party ?uri}

Where is Emmett Hughes from?	SELECT DISTINCT ?uri WHERE { dbr:Emmett_Hughes dbo:nationality ?uri  . }

Name the district of Robert William Wilcox ?	 SELECT DISTINCT ?uri WHERE { dbr:Robert_William_Wilcox dbp:district ?uri }

Who is the author of Karakuri Dji Ultimo ?	 SELECT DISTINCT ?uri WHERE { dbr:Karakuri_Dôji_Ultimo dbp:author ?uri }

Name the movies in which music is give by  Laurie Johnson and edited by Anthony Harvey ?	SELECT DISTINCT ?uri WHERE {?uri dbp:music dbr:Laurie_Johnson . ?uri dbo:editing dbr:Anthony_Harvey  . ?uri rdf:type dbo:Film}

What are some districts in the Tendring borough?	SELECT DISTINCT ?uri WHERE { ?x dbp:borough dbr:Tendring . ?x dbo:district ?uri  . }

What are the television shows which are in NTSC and 5.1 surround sound?	SELECT DISTINCT ?uri WHERE { ?uri dbo:format dbr:NTSC . ?uri dbo:format dbr:5.1_surround_sound . ?uri rdf:type dbo:TelevisionShow}

Give me a count of bacterias which belongs to Bacilli class?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:class dbr:Bacilli  . ?uri rdf:type dbo:Bacteria}

 Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro ?	SELECT DISTINCT ?uri WHERE {?uri dbp:province dbr:Metropolitan_City_of_Venice . ?uri dbo:leaderName dbr:Luigi_Brugnaro  . }

In which sects was the aristocrat venerated whose parent is Thelred the Unready?	SELECT DISTINCT ?uri WHERE { ?x dbo:parent dbr:Æthelred_the_Unready . ?x dbp:veneratedIn ?uri  . ?x rdf:type dbo:Royalty}

Name the television show whose voice is given by April Stewart and it's distributor is Broadcast syndication?	SELECT DISTINCT ?uri WHERE {?uri dbp:voices dbr:April_Stewart . ?uri dbo:distributor dbr:Broadcast_syndication  . ?uri rdf:type dbo:TelevisionShow}

What is the appliance build jointly by Sony and Asus?	SELECT DISTINCT ?uri WHERE { ?uri dbo:manufacturer dbr:Sony . ?uri dbo:manufacturer dbr:Asus . ?uri rdf:type dbo:InformationAppliance}

What games are played at institutions affiliated with the international association of universities?	SELECT DISTINCT ?uri WHERE { ?x dbp:affiliations dbr:International_Association_of_Universities . ?x dbo:sport ?uri  . ?x rdf:type dbo:EducationalInstitution}

Whose units are responsible for close air support?	SELECT DISTINCT ?uri WHERE { ?x dbp:role dbr:Close_air_support . ?uri dbo:militaryUnit ?x  . }

Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?	 SELECT DISTINCT ?uri WHERE { dbr:The_Chess_Monthly dbp:discipline ?uri. dbr:Craig_Van_Tilbury dbo:occupation ?uri}

 Count the participants of the NBA.	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:league dbr:National_Basketball_Association  . }

How many politicians are in the US Senate?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbp:order dbr:United_States_Senate  . ?uri rdf:type dbo:OfficeHolder}

How many players participated in the 2004-05 FC Barcelona season?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:2004–05_FC_Barcelona_season dbp:name ?uri  . ?uri rdf:type dbo:SoccerPlayer}

Count everyone who studied at an institute which are in Suburbs?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:campus dbr:Suburb . ?uri dbp:education ?x  . }

Which source of broad creek is the Audenried tunnel located ?	 SELECT DISTINCT ?uri WHERE { dbr:Broad_Creek_(Susquehanna_River) dbo:source ?uri. dbr:Audenried_Tunnel dbo:location ?uri}

Count me the number of people whose military unit is involved with Close air support ?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:role dbr:Close_air_support . ?uri dbo:militaryUnit ?x  . ?uri rdf:type dbo:MilitaryPerson}

Who were fighting the war where the QF Hotchkiss was used?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:QF_6-pounder_Hotchkiss dbo:usedInWar ?x . ?x dbo:territory ?uri  . ?x rdf:type dbo:MilitaryConflict}

What awards have been given to the artists coming out of the university of Melbourne faculty of VCA and MCM?	SELECT DISTINCT ?uri WHERE { ?x dbo:training dbr:University_of_Melbourne_Faculty_of_VCA_and_MCM . ?x dbo:award ?uri  . ?x rdf:type dbo:Artist}

Which universities are alma mater to Charles Plosser?	 SELECT DISTINCT ?uri WHERE { dbr:Charles_Plosser dbp:almaMater ?uri }

Where was the Temptation Waits recorded?	 SELECT DISTINCT ?uri WHERE { dbr:Temptation_Waits dbo:recordedIn ?uri }

Name the species of Panthera leo fossilis ?	 SELECT DISTINCT ?uri WHERE { dbr:Panthera_leo_fossilis dbo:species ?uri }

What is the associated band of the musical artist who is the producer of The Trumpet Kings Meet Joe Turner ?	SELECT DISTINCT ?uri WHERE { dbr:The_Trumpet_Kings_Meet_Joe_Turner dbp:producer ?x . ?x dbo:associatedBand ?uri  . ?x rdf:type dbo:MusicalArtist}

Name the driver who had a pole finish in 1989 Portuguese Grand Prix ?	 SELECT DISTINCT ?uri WHERE { dbr:1989_Portuguese_Grand_Prix dbo:poleDriver ?uri }

what are some common surnames of female people?	 SELECT DISTINCT ?uri WHERE {?uri dbp:gender dbr:Female }

Give me the total number of membership of the organisations which have memebers as  Azerbaijan?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:membership dbr:Azerbaijan . ?x dbp:membership ?uri }

Who is the builder of the bridge owned by Tabriz ?	SELECT DISTINCT ?uri WHERE { ?x dbp:owner dbr:Tabriz . ?x dbo:builder ?uri  . ?x rdf:type dbo:Bridge}

Which show's theme music was composed by Primus and voiced by Isaac Hayes?	SELECT DISTINCT ?uri WHERE {?uri dbp:themeMusicComposer dbr:Primus_(band) . ?uri dbp:voices dbr:Isaac_Hayes  . ?uri rdf:type dbo:TelevisionShow}

Which city's governing body is led by Bruce Harrell?	SELECT DISTINCT ?uri WHERE { ?x dbo:leader dbr:Bruce_Harrell . ?uri dbp:governingBody ?x  . }

What are the reason served by Toll Global Express which is also the country of LPGA ?	 SELECT DISTINCT ?uri WHERE { dbr:Toll_Global_Express dbo:regionServed ?uri. dbr:LPGA dbo:country ?uri}

Give the total number of places to which airlines go who also go to Glasgow?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:targetAirport dbr:Glasgow_Airport . ?x dbp:destinations ?uri  . ?uri rdf:type dbo:Place}

Where does the rail route which ends at the Moskovsky station begins?	SELECT DISTINCT ?uri WHERE { ?x dbo:routeEnd dbr:Moskovsky_railway_station_(Saint_Petersburg) . ?x dbo:routeStart ?uri  . }

What are the television shows whose writers did notable work for Band of Brothers ?	SELECT DISTINCT ?uri WHERE { ?x dbo:notableWork dbr:Band_of_Brothers_(miniseries) . ?uri dbp:writer ?x  . ?uri rdf:type dbo:TelevisionShow}

Was 12th Field Artillery Regiment garrisoned at colorado?	ASK WHERE { dbr:12th_Field_Artillery_Regiment dbo:garrison dbr:Colorado }

Who is the common prime minster of William Deaner and mark Latham ?	 SELECT DISTINCT ?uri WHERE { dbr:William_Deane dbo:primeMinister ?uri. dbr:Mark_Latham dbp:primeminister ?uri}

What is the genre of the Band whose home town is County Westmeath?	SELECT DISTINCT ?uri WHERE { ?x dbo:hometown dbr:County_Westmeath . ?x dbp:genre ?uri  . ?x rdf:type dbo:Band}

What is the municipality of Patterson Houses ?	 SELECT DISTINCT ?uri WHERE { dbr:Patterson_Houses dbo:municipality ?uri }

What is the successor of the governors whose child is Levi Lincoln Jr.?	SELECT DISTINCT ?uri WHERE { ?x dbp:children dbr:Levi_Lincoln_Jr. . ?x dbp:successor ?uri  . ?x rdf:type dbo:Governor}

Was Gareth Southgate a manager of Middlesbrough F.C.?	ASK WHERE { dbr:Gareth_Southgate dbp:managerclubs dbr:Middlesbrough_F.C. }

In which city is the building whose part is the Martin AN/FSG1 anti aircraft system?	SELECT DISTINCT ?uri WHERE { ?x dbo:part dbr:Martin_AN/FSG-1_Antiaircraft_Defense_System . ?x dbp:district ?uri  . ?x rdf:type dbo:Building}

Count the number of sports played by the universities whihc also plays Volleyball ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:athletics dbr:Volleyball . ?x dbp:athletics ?uri }

In which religions are both Pope Gregory 1 and Edwin of northumbria reverred?	SELECT DISTINCT ?uri WHERE { dbr:Pope_Gregory_I dbp:veneratedIn ?uri. dbr:Edwin_of_Northumbria dbp:veneratedIn ?uri . }

Which wine region of Bogdanua is the Croatian Inline hockey team part of ?	 SELECT DISTINCT ?uri WHERE { dbr:Bogdanuša dbo:wineRegion ?uri. dbr:Croatian_Inline_Hockey_League dbo:country ?uri}

For which games are Sam Loyd and Eric Schiller both famous?	SELECT DISTINCT ?uri WHERE { dbr:Sam_Loyd dbo:knownFor ?uri. dbr:Eric_Schiller dbo:knownFor ?uri . }

Count the number of religions followed by Janta Dal members.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:party dbr:Janata_Dal . ?x dbo:religion ?uri  . }

Does Lousana lie at the end of Alberta Highway 42?	ASK WHERE { dbr:Alberta_Highway_42 dbo:routeEnd dbr:Lousana  . }

Which president of United States had vice president as John Adams?	SELECT DISTINCT ?uri WHERE {?uri dbo:vicePresident dbr:John_Adams  . ?uri rdf:type dbo:OfficeHolder}

Where are the tombs of kings and queens who have died in England?	SELECT DISTINCT ?uri WHERE { ?x dbp:placeOfDeath dbr:England . ?x dbp:placeOfBurial ?uri  . ?x rdf:type dbo:Royalty}

Where was the successor of Hank Brown born?	SELECT DISTINCT ?uri WHERE { dbr:Hank_Brown dbp:successor ?x . ?x dbo:birthPlace ?uri  . }

Greek writers have won which award?	SELECT DISTINCT ?uri WHERE { ?x dbp:ethnicity dbr:Greeks . ?x dbo:award ?uri  . ?x rdf:type dbo:Writer}

Give me a count of movies whose producer is Larry J. Franco?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:producer dbr:Larry_J._Franco  . ?uri rdf:type dbo:Film}

Who authored the works published in the Jump Square Magazine?	SELECT DISTINCT ?uri WHERE { ?x dbp:magazine dbr:Jump_Square . ?x dbp:author ?uri  . }

Name the partners of Kelly Brook?	 SELECT DISTINCT ?uri WHERE { dbr:Kelly_Brook dbo:partner ?uri }

What is the TV Show whose theme is composed by someone signed up with Prawn Song Records?	SELECT DISTINCT ?uri WHERE { ?x dbo:recordLabel dbr:Prawn_Song_Records . ?uri dbp:themeMusicComposer ?x  . ?uri rdf:type dbo:TelevisionShow}

Count everyone who lives in a place where Indian English is an official language ?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:officialLanguage dbr:Indian_English . ?uri dbo:residence ?x  . }

Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?	 SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:phylum dbr:Chordate . ?uri dbo:order dbr:Diprotodontia }

Where does Dennis DeConcini and Scott Berkun both live?	SELECT DISTINCT ?uri WHERE { dbr:Scott_Berkun dbp:residence ?uri. dbr:Dennis_DeConcini dbp:residence ?uri . }

Where does John A Danaher III work?	 SELECT DISTINCT ?uri WHERE { dbr:John_A._Danaher_III dbp:office ?uri }

What is the location town of First Church of Christ Scientist (Pittsburgh) ?	 SELECT DISTINCT ?uri WHERE { dbr:First_Church_of_Christ_Scientist_(Pittsburgh) dbp:locationTown ?uri }

Whose commanders are Colin Powell and Jaber Al-Ahmad Al-Sabah?	SELECT DISTINCT ?uri WHERE { ?uri dbo:commander dbr:Colin_Powell . ?uri dbo:commander dbr:Jaber_Al-Ahmad_Al-Sabah . }

Where was MacKenzie Miller born?	 SELECT DISTINCT ?uri WHERE { dbr:MacKenzie_Miller dbp:birthPlace ?uri }

Who is the person whose home town is Fairmount Indiana?	SELECT DISTINCT ?uri WHERE {?uri dbo:hometown dbr:Fairmount_Indiana  . ?uri rdf:type dbo:Person}

What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini ?	SELECT DISTINCT ?uri WHERE { dbr:Letitia_MacTavish_Hargrave dbo:deathCause ?uri. dbr:Martino_Martini dbo:deathCause ?uri . ?uri rdf:type dbo:Disease}

Is George Lucas the cinematographer of 6-18-67?	ASK WHERE { dbr:6-18-67 dbp:cinematography dbr:George_Lucas }

List the shows whose company's successor is Amblin Television.	SELECT DISTINCT ?uri WHERE { ?x dbo:successor dbr:Amblin_Television . ?uri dbo:company ?x  . ?uri rdf:type dbo:TelevisionShow}

Count the total number of battles fought by the military people which fought in Levant ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:battles dbr:Levant . ?x dbp:battles ?uri }

List the graves of the royalities which have been buried at Beeleigh Abbey ?	SELECT DISTINCT ?uri WHERE { ?x dbp:placeOfBurial dbr:Beeleigh_Abbey . ?x dbp:placeOfBurial ?uri  . ?x rdf:type dbo:Royalty}

In which country does the Auckland rugby union team play  ?	SELECT DISTINCT ?uri WHERE { dbr:Auckland_rugby_union_team dbo:league ?x . ?x dbo:country ?uri  . }

Which genre of books does the writer of The Many Hands write?	SELECT DISTINCT ?uri WHERE { dbr:The_Many_Hands dbp:author ?x . ?x dbo:genre ?uri  . }

Name the sports played by Jamiatu Muslim Mindanao?	 SELECT DISTINCT ?uri WHERE { dbr:Jamiatu_Muslim_Mindanao dbo:athletics ?uri }

Laozi has authored which books ?	SELECT DISTINCT ?uri WHERE {?uri dbp:author dbr:Laozi  . ?uri rdf:type dbo:Book}

Which person naratted The Incredible Hulk and also the writer of Tales of Suspense ?	 SELECT DISTINCT ?uri WHERE { dbr:The_Incredible_Hulk_(1982_TV_series) dbp:narrated ?uri. dbr:Tales_of_Suspense dbp:writers ?uri}

What is the television show whose opening theme is Te Deum (Charpentier)?	SELECT DISTINCT ?uri WHERE {?uri dbo:openingTheme dbr:Te_Deum_(Charpentier)  . ?uri rdf:type dbo:TelevisionShow}

What is the total number of participant in conflict of SFOR?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:battles dbr:SFOR . ?x dbo:battle ?uri  . }

From how many different places have people gone to the Harward Medical School?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:institution dbr:Harvard_Medical_School . ?x dbo:birthPlace ?uri  . }

Name the river passing through Reading Berkshire and has mouth place at Essex ?	SELECT DISTINCT ?uri WHERE {?uri dbo:city dbr:Reading_Berkshire . ?uri dbo:mouthPlace dbr:Essex  . ?uri rdf:type dbo:River}

How many movies music composers are associated with Demis Roussos ?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:associatedActs dbr:Demis_Roussos . ?uri dbo:musicComposer ?x  . ?uri rdf:type dbo:Film}

Who all play for the Ivory Coast football team?	 SELECT DISTINCT ?uri WHERE {?uri dbp:nationalteam dbr:Ivory_Coast_national_football_team }

Which party has come in power at both Balangir and Amaravila in india?	SELECT DISTINCT ?uri WHERE { dbr:Balangir_district dbo:leaderName ?uri. dbr:Amaravila dbo:leaderName ?uri . }

What are some common games played in PATTS college of aeronautics and Jamiatu muslim mindanao?	SELECT DISTINCT ?uri WHERE { dbr:PATTS_College_of_Aeronautics dbp:athletics ?uri. dbr:Jamiatu_Muslim_Mindanao dbp:athletics ?uri . }

List the total number of executive producer of TV show which have one of the executiive producer as Steven Moffat ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:executiveProducer dbr:Steven_Moffat . ?x dbp:executiveProducer ?uri }

What is the nation of the Major All Stars Season 1 and Pioneer Corporation ?	SELECT DISTINCT ?uri WHERE { dbr:Major_All_Stars_Season_1 dbp:country ?uri. dbr:Pioneer_Corporation dbp:country ?uri . }

How many things belong to a division of plant kingdom?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:kingdom dbr:Plant . ?uri dbo:division ?x  . }

Where is Semnani and Assyrian Neo-Aramaic spoken ?	SELECT DISTINCT ?uri WHERE {?uri dbp:languages dbr:Semnani_languages . ?uri dbo:language dbr:Assyrian_Neo-Aramaic  . }

Does Massimo Liverani play for Abarth?	ASK WHERE { dbr:Massimo_Liverani dbp:currentTeam dbr:Abarth }

What is the fictional character which has Clan McDuck and Ludwig Von Draken as relatives?	SELECT DISTINCT ?uri WHERE { ?uri dbp:relatives dbr:Clan_McDuck . ?uri dbp:relatives dbr:Ludwig_Von_Drake . ?uri rdf:type dbo:FictionalCharacter}

Name the appliance produced by Foxconn and its OS is provided by PlayStation 3 system software ?	SELECT DISTINCT ?uri WHERE {?uri dbo:manufacturer dbr:Foxconn . ?uri dbp:os dbr:PlayStation_3_system_software  . ?uri rdf:type dbo:InformationAppliance}

Name the source Island of Bayou ?	 SELECT DISTINCT ?uri WHERE { dbr:Island_Bayou_(Oklahoma) dbo:source ?uri }

Did Alexander Magleby study at the Dartmouth College?	ASK WHERE { dbr:Alexander_Magleby dbo:university dbr:Dartmouth_College }

Where was Thomy Bourdelle born?	SELECT DISTINCT ?uri WHERE { dbr:Thomy_Bourdelle dbp:placeOfBirth ?uri  . }

Companies headquartered in Geneva own which TV Shows?	SELECT DISTINCT ?uri WHERE { ?x dbo:headquarter dbr:Geneva . ?uri dbp:company ?x  . }

Who owns the schools which have a penguin as its mascot?	SELECT DISTINCT ?uri WHERE { ?x dbp:mascot dbr:Penguin . ?x dbo:authority ?uri  . ?x rdf:type dbo:School}

In which city is the sister station of WCSE-LP located ?	SELECT DISTINCT ?uri WHERE { dbr:WCSE-LP dbp:sisterStations ?x . ?x dbp:city ?uri  . }

What is the total number of relgions followed by people born in Bangkok?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:birthPlace dbr:Bangkok . ?x dbo:religion ?uri  . }

Twin cities 400 is operated by what city which is the birthplace of Leona Baumgarter?	 SELECT DISTINCT ?uri WHERE { dbr:Twin_Cities_400 dbo:operatedBy ?uri. dbr:Leona_Baumgartner dbo:birthPlace ?uri}

Where are the homestadiums of the seasons chaired by Merritt Paulson?	SELECT DISTINCT ?uri WHERE { ?x dbo:chairman dbr:Merritt_Paulson . ?x dbo:homeStadium ?uri  . ?x rdf:type dbo:SoccerClubSeason}

What is the products of the BBC Multimedia and series of the The Last Resort (Doctor Who)	 SELECT DISTINCT ?uri WHERE { dbr:BBC_Multimedia dbp:products ?uri. dbr:The_Last_Resort_(Doctor_Who) dbo:series ?uri}

What are the gadgets whose manufacturing company is founded by Terry Gou?	SELECT DISTINCT ?uri WHERE { ?x dbp:founder dbr:Terry_Gou . ?uri dbo:manufacturer ?x  . ?uri rdf:type dbo:Device}

In which of the parties that have governed over Rishikesh does Govinda belong too?	 SELECT DISTINCT ?uri WHERE { dbr:Govinda_(actor) dbo:party ?uri. dbr:Rishikesh dbo:leaderName ?uri}

List softwares written in C++ and runs on Mac OS ?	SELECT DISTINCT ?uri WHERE {?uri dbo:operatingSystem dbr:Mac_OS . ?uri dbo:programmingLanguage dbr:C++  . ?uri rdf:type dbo:Software}

What are the home stadiums of the things Leonid Fedun has been the chairman of?	SELECT DISTINCT ?uri WHERE { ?x dbo:chairman dbr:Leonid_Fedun . ?x dbo:homeStadium ?uri  . }

For which team does hunter pence play for?	 SELECT DISTINCT ?uri WHERE { dbr:Hunter_Pence dbo:team ?uri }

How many have former teams as Indianapolis Colts and Carolina Panthers?	 SELECT DISTINCT COUNT(?uri) WHERE { ?uri dbo:formerTeam dbr:Indianapolis_Colts . ?uri dbo:formerTeam dbr:Carolina_Panthers}

Of what all has David Ian Salter been an editor of?	 SELECT DISTINCT ?uri WHERE {?uri dbp:editing dbr:David_Ian_Salter }

Who owns Ivanpah Solar Power Facility?	 SELECT DISTINCT ?uri WHERE { dbr:Ivanpah_Solar_Power_Facility dbo:owner ?uri }

Where are ethnic group located which speak Nebraskan?	SELECT DISTINCT ?uri WHERE { dbr:Nebraska dbo:language ?x . ?x dbp:region ?uri  . ?x rdf:type dbo:EthnicGroup}

Name the sharehoders of The National Herald ?	 SELECT DISTINCT ?uri WHERE { dbr:The_National_Herald_(India) dbo:owner ?uri }

List some things that Swedish people have become famous for?	SELECT DISTINCT ?uri WHERE { ?x dbo:stateOfOrigin dbr:Sweden . ?x dbo:knownFor ?uri  . }

Which  governing body of the Oahu Railway and Land Company is also the military branch of the Jimmy Quillen ?	 SELECT DISTINCT ?uri WHERE { dbr:Oahu_Railway_and_Land_Company dbp:governingBody ?uri. dbr:Jimmy_Quillen dbo:militaryBranch ?uri}

How many things are made by companies who produce mass media articles?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:products dbr:Mass_media . ?uri dbo:manufacturer ?x  . }

Name the rivers who originate from Essex?	SELECT DISTINCT ?uri WHERE {?uri dbo:mouthPlace dbr:Essex  . ?uri rdf:type dbo:River}

What is the place of death of the royalties one of whose parents was Adam Ludwik Czartoryski?	SELECT DISTINCT ?uri WHERE { ?x dbo:parent dbr:Adam_Ludwik_Czartoryski . ?x dbp:deathPlace ?uri  . ?x rdf:type dbo:Royalty}

Name the fictional character whose voice's animator is Hardie Gramatky?	SELECT DISTINCT ?uri WHERE { ?x dbp:animator dbr:Hardie_Gramatky . ?uri dbo:voice ?x  . ?uri rdf:type dbo:FictionalCharacter}

What actor starred in Splash and is married to Rita Wilson?	SELECT DISTINCT ?uri WHERE { dbr:Splash_(film) dbp:starring ?uri. dbr:Rita_Wilson dbp:spouse ?uri . }

Is lion an animal?	ASK WHERE { dbr:Lion dbo:kingdom dbr:Animal }

Which players have represented Los Angeles Angels of Anaheim?	SELECT DISTINCT ?uri WHERE {?uri dbo:team dbr:Los_Angeles_Angels_of_Anaheim  . ?uri rdf:type dbo:BaseballPlayer}

What are the movies whose distributor's headquarters is New York?	SELECT DISTINCT ?uri WHERE { ?x dbp:headquarters dbr:New_York . ?uri dbp:distributor ?x  . ?uri rdf:type dbo:Film}

List the shows whose network is run by BBC.	SELECT DISTINCT ?uri WHERE { ?x dbo:owningCompany dbr:BBC . ?uri dbo:network ?x  . ?uri rdf:type dbo:TelevisionShow}

What is the religion of the political party which is an international party of Hamas?	SELECT DISTINCT ?uri WHERE { dbr:Hamas dbp:international ?x . ?x dbo:religion ?uri  . ?x rdf:type dbo:PoliticalParty}

What are some games availible on nintendo's virtual console?	SELECT DISTINCT ?uri WHERE {?uri dbo:computingPlatform dbr:Virtual_Console  . ?uri rdf:type dbo:VideoGame}

